Id,Country,Location Name,Mag,Deaths,Death Description,Total Deaths,Total Death Description
4032.0,JAPAN,JAPAN:  KASHIMA,7.4,1.0,1.0,1.0,1.0
4238.0,JAPAN,JAPAN:  MIYAZAKI,7.3,2.0,1.0,2.0,1.0
4264.0,JAPAN,JAPAN:  HONSHU:  SENDAI,6.8,1.0,1.0,1.0,1.0
4322.0,JAPAN,JAPAN:  HONSHU:  W COAST,7.5,26.0,1.0,26.0,1.0
9812.0,JAPAN,"JAPAN:  AICHI, SHIZOUKA PREFECTURES",6.0,1.0,1.0,1.0,1.0
4429.0,JAPAN,JAPAN:  KYUSHU,6.3,3.0,1.0,3.0,1.0
4432.0,JAPAN,"JAPAN:  KYUSHU, SHIKOKU",7.5,1.0,1.0,1.0,1.0
4656.0,JAPAN,JAPAN:  NAKAGI,6.5,30.0,1.0,27.0,1.0
4664.0,JAPAN,"JAPAN:  HONSHU:  KAKIOTA,  MITO, TOKYO",5.7,2.0,1.0,2.0,1.0
4788.0,JAPAN,"JAPAN:  TOKKAIDO, OSHIMA",6.6,25.0,1.0,25.0,1.0
4806.0,JAPAN,JAPAN:  SANRIKU,7.7,28.0,1.0,28.0,1.0
4894.0,JAPAN,"JAPAN:  TOKYO, YOKOHAMA",6.0,2.0,1.0,2.0,1.0
7284.0,JAPAN,JAPAN:  HONSHU:  S COAST,5.3,1.0,1.0,1.0,1.0
5041.0,JAPAN,JAPAN:  KYUSHU:  NOBEOKA,6.7,20.0,1.0,20.0,1.0
5046.0,JAPAN,JAPAN:  HONSHU:  CENTRAL: MT ONTAKE,6.1,29.0,1.0,29.0,1.0
5132.0,JAPAN,"JAPAN:  KYUSHU:  MIYAZAKI, NAZE",6.7,2.0,1.0,2.0,1.0
5153.0,JAPAN,"JAPAN:  HONSHU:  CHIBA PERFECTURE, TOKYO",6.0,2.0,1.0,2.0,1.0
5344.0,JAPAN,"JAPAN:  HOKKADIO, KUSHIRO, HACHINOHE, HONSHU",7.6,2.0,1.0,2.0,1.0
5397.0,JAPAN,JAPAN:  HONSHU,7.8,3.0,1.0,3.0,1.0
