Id,Country,Location Name,Missing,Missing Description,Total Missing,Total Missing Description
4292.0,INDONESIA,INDONESIA:  BALI,,,,
4306.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
6408.0,INDONESIA,"INDONESIA:  JAVA:  LABUHAN, MENES, PONOROGO",,,,
4307.0,INDONESIA,INDONESIA:  SULAWESI:  PINRANG,,,,
4313.0,INDONESIA,INDONESIA:  BANDA ACEH,,,,
4334.0,INDONESIA,INDONESIA:  SANANA ISLAND,,,,
4394.0,INDONESIA,"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK",,,,
4396.0,INDONESIA,INDONESIA:  MAKASSAR STRAIT,,,,
4397.0,INDONESIA,"INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA",,,,
4441.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,
4452.0,INDONESIA,"INDONESIA:  MOLUCCA ISLANDS: MANADO, CELEBES",,,,
4454.0,INDONESIA,"INDONESIA:  SULAWESI:  TAMBU,COAST OF MAPAGA",,,,
4474.0,INDONESIA,"INDONESIA:  TALAUD ISLANDS, MINDANAO, VISAYAN",,,,
4476.0,INDONESIA,"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG",,,,
4508.0,INDONESIA,INDONESIA:  OFF NW COAST SUMATERA,,,,
4554.0,INDONESIA,"INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI",,,,
4555.0,INDONESIA,"INDONESIA:  NATAL, SIBOLGA, TARUTUNG, PASAMAN",,,,
4568.0,INDONESIA,"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG",,,,
4605.0,INDONESIA,INDONESIA:  CELEBES SEA,,,,
4676.0,INDONESIA,INDONESIA:  MALUKU:  BANDANAIRA,,,,
4683.0,INDONESIA,INDONESIA:  JAVA,,,,
4729.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,
4731.0,INDONESIA,INDONESIA:  BALI,,,,
4746.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA,,,,
4758.0,INDONESIA,"INDONESIA:  BALI: KAYUBIHI,BANJAR ANTUGAN JEHEM",,,,
4763.0,INDONESIA,"INDONESIA:  SUMATERA,SINURAT,TALU",,,,
4779.0,INDONESIA,INDONESIA:  SUNDA ISLANDS,,,,
4832.0,INDONESIA,INDONESIA:  BALI,,,,
4834.0,INDONESIA,INDONESIA:  SUMBAWA ISLAND,,,,
4842.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,,,,
4849.0,INDONESIA,INDONESIA:  SUMBAWA ISLAND,,,,
4851.0,INDONESIA,INDONESIA:  JAVA,,,,
4866.0,INDONESIA,INDONESIA:  S SUMATERA,,,,
4867.0,INDONESIA,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",,,,
4872.0,INDONESIA,INDONESIA:  JAVA:  TASIKMALAJA,,,,
4909.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS,,,,
4939.0,INDONESIA,"INDONESIA:  JAVA, SUKABUMI",,,,
6461.0,INDONESIA,INDONESIA:  NORTHERN SUMATERA,,,,
6512.0,INDONESIA,INDONESIA:  SUMBAWA ISLAND REGION,,,,
4949.0,INDONESIA,INDONESIA:  FLORES ISLANDS:  RUTENG,,,,
4959.0,INDONESIA,INDONESIA:  FLORES ISLAND:  EASTERN,,,,
6463.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
4973.0,INDONESIA,INDONESIA:  SUMATERA:  BANDA ACEH,,,,
4992.0,INDONESIA,INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI,,,,
4993.0,INDONESIA,INDONESIA:  CENTRAL SULAWESI,,,,
5019.0,INDONESIA,INDONESIA:  SULAWESI:  W,,,,
5043.0,INDONESIA,INDONESIA:  N SUMATERA:  TARUTUNG,,,,
5063.0,INDONESIA,"INDONESIA:  DENPASAR, BALI",,,,
5074.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,,,,
5085.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  MANOKWARI,,,,
5090.0,INDONESIA,"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM",,,,
5134.0,INDONESIA,"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,",,,,
5150.0,INDONESIA,"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG",,,,
5188.0,INDONESIA,"INDONESIA:  MOLUCCA PASSAGE:  MOROTAI, TANAWANGU",,,,
5206.0,INDONESIA,INDONESIA:  TIMOR:  ALOR,,,,
5207.0,INDONESIA,"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",,,,
5210.0,INDONESIA,INDONESIA:  TEMBAGAPURA,,,,
5231.0,INDONESIA,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,,,,
5251.0,INDONESIA,"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA",,,,
5265.0,INDONESIA,"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",,,,
5294.0,INDONESIA,"INDONESIA:  MINAHASSA:  GORONTALO, MAMADO",,,,
5296.0,INDONESIA,"INDONESIA:  TIMOR:  KALABAHI, DILI",,,,
5315.0,INDONESIA,"INDONESIA:  JAWA, BREBES",,,,
5343.0,INDONESIA,"INDONESIA:  FLORES REGION, MAUMERE, BABI",,,,
5375.0,INDONESIA,INDONESIA:  KAU,,,,
5379.0,INDONESIA,"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",,,,
5385.0,INDONESIA,INDONESIA:  JAVA,,,,
6832.0,INDONESIA,INDONESIA:  JAVA,,,,
10108.0,INDONESIA,INDONESIA:  JAVA,,,,
6833.0,INDONESIA,INDONESIA:  JAVA,,,,
5393.0,INDONESIA,INDONESIA:  HALMAHERA,,,,
6491.0,INDONESIA,INDONESIA:  IRIAN JAYA REGION,,,,
5410.0,INDONESIA,"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",,,,
5422.0,INDONESIA,"INDONESIA:  SUMATERA, JAMBI PROVINCE",,,,
5428.0,INDONESIA,"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",,,,
5433.0,INDONESIA,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",,,,
5471.0,INDONESIA,"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN",,,,
5474.0,INDONESIA,"INDONESIA:  SULAWESI, PAREPARE",,,,
5479.0,INDONESIA,"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO",,,,
5504.0,INDONESIA,"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",,,,
5510.0,INDONESIA,"INDONESIA:  MANGOLE, MANADO, TALIABU",,,,
5549.0,INDONESIA,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",,,,
5557.0,INDONESIA,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",,,,
5560.0,INDONESIA,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",,,,
5563.0,INDONESIA,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,,,,
5570.0,INDONESIA,"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",,,,
5610.0,INDONESIA,INDONESIA:  BANDA SEA,,,,
5644.0,INDONESIA,INDONESIA:   SULAWESI:  TOJO,,,,
5651.0,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,,,,
