Id,Country,Location Name,Mag,Deaths,Houses Destroyed,Houses Damaged
10221.0,ECUADOR,ECUADOR:  ESMERALDAS,5.4,3.0,10.0,70.0
10393.0,ECUADOR,"ECUADOR: AZUAY, MANABI, MORONA SANT.; PERU",7.5,1.0,5.0,75.0
10609.0,ECUADOR,ECUADOR:  ESMERALDAS,5.8,1.0,779.0,3825.0
10673.0,ECUADOR,"ECUADOR: AZUAY, EL ORO, GUAYAS;  PERU: TUMBES",6.8,15.0,291.0,1050.0
3914.0,ECUADOR,ECUADOR: TUNGURAHUA,6.5,6000.0,6998.0,10674.0
5233.0,CHINA,CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI,6.9,126.0,66800.0,66800.0
5430.0,CHINA,CHINA:  YUNNAN PROVINCE:  LIJIANG,6.6,322.0,959000.0,959000.0
9978.0,CHINA,CHINA:  SICHUAN PROVINCE:  LONGMEN,6.6,196.0,880.8055555555555,492.1578947368421
10106.0,CHINA,"CHINA:  YUNNAN:  LUDIAN:   LONGTOUSHAN, ZHAOTONG",6.2,615.0,25800.0,160400.0
10726.0,CHINA,CHINA:  GANSU PROVINCE: JISHISHAN,5.9,151.0,15000.0,207000.0
8116.0,CHINA,CHINA:   YUNNAN PROVINCE,5.5,6.0,880.8055555555555,492.1578947368421
8109.0,CHINA,CHINA:  SICHUAN PROVINCE,5.0,13.0,3.0,3.0
8022.0,CHINA,CHINA:  GUIZHOU PROVINCE,5.8,3.0,880.8055555555555,492.1578947368421
4489.0,CHINA,CHINA:  BOHAI SEA,7.4,10.0,15190.0,24810.0
5218.0,CHINA,CHINA:  SICHUAN PROVINCE:  JIANGBEI COUNTY,4.7,4.0,5000.0,53000.0
5414.0,CHINA,"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND",6.8,11.0,100000.0,100000.0
5503.0,CHINA,CHINA:  SOUTHERN XINJIANG:  JIASHI,6.4,3.0,3600.0,18771.0
5509.0,CHINA,"CHINA:  SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG",5.6,5.0,12000.0,12000.0
5544.0,CHINA,CHINA:  YUNNAN PROVINCE:  CHENGJIANG,4.6,1.0,90.0,90.0
5593.0,CHINA,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",5.6,3.0,60000.0,60000.0
5611.0,CHINA,CHINA:  YUNNAN PROVINCE:  YONGSHENG,5.6,1.0,3400.0,3400.0
5707.0,CHINA,CHINA:  YUNNAN PROVINCE,5.9,16.0,264878.0,264878.0
5731.0,CHINA,CHINA:  YUNNAN PROVINCE:  DAYAO,5.6,3.0,12000.0,12000.0
5734.0,CHINA,"CHINA:  YUNNAN PROVINCE:  LUDIAN, ZHAOTONG",5.6,4.0,600.0,600.0
5796.0,CHINA,CHINA:  YUNNAN PROVINCE:  LUDIAN,5.4,4.0,18556.0,65601.0
7881.0,CHINA,CHINA:  SICHUAN PROVINCE,6.0,8.0,400000.0,400000.0
8165.0,CHINA,CHINA:  SICHUAN PROVINCE,5.6,1.0,1200.0,1200.0
8132.0,CHINA,CHINA:  SICHUAN PROVINCE,5.9,43.0,392000.0,392000.0
8492.0,CHINA,CHINA:  CHONGQING PROVINCE:  RONGCHANG,3.4,2.0,440.0,440.0
8752.0,CHINA,CHINA:  SICHUAN PROVINCE: MOXI,4.7,1.0,200.0,200.0
9836.0,CHINA,CHINA:  YUNNAN PROVINCE:  PINGYUAN,5.5,25.0,1039.0,12528.0
10031.0,CHINA,CHINA:  YUNNAN PROVINCE:  BENZILAN,5.6,5.0,600.0,55500.0
10121.0,CHINA,CHINA:  SICHUAN PROVINCE:  GARZE,5.9,5.0,30.0,27400.0
10128.0,CHINA,CHINA:  YUNNAN PROVINCE:  YONGPING,5.6,1.0,434.0,17000.0
10132.0,CHINA,CHINA:  ANHUI PROVINCE:  FUYANG,4.6,2.0,155.0,11079.0
10261.0,CHINA,CHINA:  SICHUAN PROVINCE:  ABA,6.5,29.0,100.0,72500.0
10395.0,CHINA,CHINA:  SICHUAN PROVINCE: RONGXIAN,4.9,2.0,9.0,10911.0
10439.0,CHINA,CHINA:  SICHUAN PROVINCE: NEIJIANG,5.1,1.0,132.0,5041.0
10575.0,CHINA,CHINA: SICHUAN PROVINCE: LUXIAN (LU),5.4,3.0,809.0,7290.0
2631.0,CHINA,"CHINA:  XINJIANG, TURKESTAN",7.7,2500.0,107604.84090909091,155506.5172413793
4513.0,CHINA,CHINA:  YUNNAN PROVINCE; VIETNAM:  HANOI,7.8,10000.0,880.8055555555555,492.1578947368421
7843.0,CHINA,CHINA:  SICHUAN PROVINCE,7.9,87652.0,5360000.0,5360000.0
5424.0,CHINA,CHINA:  YUNNAN PROVINCE:  WUDING,6.2,81.0,200.0,200.0
