"Search Parameters"	"Id"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Mw"	"Ms"	"Mb"	"Ml"	"Mfa"	"Unk"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1900 <= Year >= 2024""]"																																																
	10197	2016	9	10	12	27	33.4			"TANZANIA"		10	"TANZANIA:  LAKE VICTORIA;  UGANDA: RAKAI"	-1.036	31.618	40	5.9	5.9						5	23	1			252	3	458	4	1172	4	6281	4	23	1			252	3	458	4	1172	4	6281	4
	10198	2016	9	11	13	10	8.1			"MACEDONIA"		130	"BALKANS NW:  MACEDONIA"	42.008	21.488	13	5.1	5.1						8					137	3	10	3				1					137	3	10	3				1
	10199	2016	9	12	11	32	55.8			"SOUTH KOREA"		30	"SOUTH KOREA:  GYEONGJU"	35.781	129.216	13	5.4	5.4						8	1	1			14	1	21	3			106	3	1	1			14	1	21	3			106	3
	10228	2016	9	23	16	11	56.6			"RWANDA"		10	"RWANDA:  RISUZI; CONGO:  UKAVU"	-2.65	29.06	10	4.8			4.8				6	8	1				1		1	22	1			8	1				1		1	22	1		
	10373	2016	9	28	16	48	55.6			"NICARAGUA"		100	"NICARAGUA:  LEON"	12.442	-86.515	8	5.5	5.5						4	1	1			5	1		2	6	1	487	3	1	1			5	1		2	6	1	487	3
	10229	2016	10	1	8	4	34.3			"PAKISTAN"		60	"PAKISTAN:  MANSEHRA, NARAN"	34.905	73.682	10	5.4			5.4				5	1	1				2		1		2			1	1				2		1		2		
	10200	2016	10	21	5	7	23			"JAPAN"		30	"JAPAN:  KURAYOSHI"	35.374	133.809	6	6.2	6.2						7					7	1	100	4	2	1	160	3					7	1	100	4	2	1	160	3
	10201	2016	10	26	19	18	8.4			"ITALY"		130	"ITALY:  VISSO, USSITA"	42.956	13.067	10	6.1	6.1						9	1	1				1		4			1001	4	1	1				1		4			1001	4
	10202	2016	10	30	6	40	18.7			"ITALY"		130	"ITALY: NORCIA"	42.862	13.096	8	6.6	6.6						9	2	1			20	1	200	4		1		4	2	1			20	1	200	4		1		4
	10204	2016	11	7	1	44	24.5			"USA"	"OK"	150	"OKLAHOMA:  CUSHING"	35.991	-96.803	4	5	5						6						1	20	3			50	1						1	20	3			50	1
	10206	2016	11	13	11	2	56.3	5613		"NEW ZEALAND"		170	"NEW ZEALAND:  AMBERLEY"	-42.737	173.054	15	7.8	7.8						9	2	1				2	3900	4				1	2	1				2	3900	4		1		1
	10209	2016	11	21	20	59	49.3	5618		"JAPAN"		30	"JAPAN: NEAR E COAST HONSHU"	37.393	141.387	9	6.9	6.9						8					15	1		1									15	1		1				
	10211	2016	11	24	18	43	47.7	5620		"NICARAGUA"		100	"NICARAGUA"	11.91	-88.897	10	6.9	6.9						5																								
	10386	2016	11	25	14	24	30.7			"CHINA"		40	"CHINA:  XINJIANG PROVINCE:  KASHGAR"	39.273	73.978	17	6.6	6.6						7	1	1					5.5	3		2			1	1					5.5	3		2		
	10230	2016	11	27	23	35	21			"NEPAL"		60	"NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA"	27.802	86.532	10	5.4			5.4				5	1	1			1	1		1	2	1			1	1			1	1		1	2	1		
	10231	2016	11	29	20	9	39.4			"POLAND"		120	"POLAND:  RUDNA"	51.613	16.157	5	4.2	4.2						3	8	1			9	1		1					8	1			9	1		1				
	10379	2016	12	1	0	25	21.4			"COSTA RICA"		100	"COSTA RICA:  PARAISO, TURRIALBA"	9.949	-83.807	1	5.3	5.3						6								2			60	2								2			60	2
	10232	2016	12	1	22	40	26.6			"PERU"		160	"PERU:  PUNO, LAMPA"	-15.312	-70.827	12	6.2	6.2						7	1	1			17	1		1	8	1	40	1	1	1			17	1		1	8	1	40	1
	10215	2016	12	6	22	3	33.4			"INDONESIA"		60	"INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA"	5.283	96.168	13	6.5	6.5						8	104	3			857	3	100	4	245	3	18752	4	104	3			857	3	100	4	245	3	18752	4
	10380	2016	12	8	5	15	4.6			"CHINA"		40	"CHINA:  N. XINJIANG:  URUMQI"	43.823	86.345	18	6	6						7	1	1					135	4					1	1					135	4				
	10218	2016	12	8	17	38	46.3	5630		"SOLOMON ISLANDS"		170	"SOLOMON ISLANDS"	-10.681	161.327	40	7.8	7.8						8	1	1						1	191	3	126	3	1	1						1	191	3	126	3
	10219	2016	12	9	19	10	6.8	5632		"SOLOMON ISLANDS"		170	"SOLOMON ISLANDS"	-10.749	161.132	20	6.9	6.9						7																								
	10220	2016	12	17	10	51	10.5	5636		"PAPUA NEW GUINEA"		170	"PAPUA NEW GUINEA:  NEW BRITAIN NEW IRELAND"	-4.505	153.522	95	7.9	7.9						8																								
	10221	2016	12	19	7	11	39.6			"ECUADOR"		160	"ECUADOR:  ESMERALDAS"	0.875	-79.708	10	5.4	5.4						6	3	1			47	1		2	10	1	70	2	3	1			47	1		2	10	1	70	2
	10224	2016	12	25	14	22	27	5637		"CHILE"		160	"CHILE"	-43.406	-73.941	38	7.6	7.6						7								1												1				
	10226	2017	1	3	9	9	2.1			"INDIA"		60	"INDIA:  AMBASA;  BANGLADESH"	24.015	92.018	32	5.7	5.7						6	3	1				3		3	1492	4	5200	4	3	1				3		3	1492	4	5200	4
	10225	2017	1	3	21	52	30.7	5639		"FIJI"		170	"FIJI ISLANDS"	-19.373	176.052	12	6.9	6.9						6																								
	10227	2017	1	6	2	33	29.2			"IRAN"		140	"IRAN:  KHONJ"	28.2	53.107	10	5	5							4	1			4	1		1					4	1			4	1		1				
	10254	2017	1	11	22	6	58.7			"MADAGASCAR"		60	"MADAGASCAR: ANTSIRABE"	-20.16	46.647	7	5.5	5.5						6	2	1				1		1				1	2	1				1		1				1
	10234	2017	1	18	10	14	11			"ITALY"		130	"ITALY:  FARINDOLA"	42.601	13.227	7	5.7	5.7						6	34	1			11	1	18	3		1			34	1			11	1	18	3		1		
	10235	2017	1	22	4	30	23	5642		"PAPUA NEW GUINEA"		170	"PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND"	-6.246	155.172	135	7.9	7.9						9	3	1						1		3			3	1						1		3		
	10405	2017	2	6	3	51	40.6			"TURKEY"		140	"TURKEY:  CANAKKALE"	39.599	26.065	10	5.3	5.3						4					5	1		2			90	2					5	1		2			90	2
	10403	2017	2	6	13	2	45.1			"COLOMBIA"		160	"COLOMBIA:  HUILA"	3.449	-74.672	38	5.5	5.5						6								2			378	3								2			378	3
