Search Parameters,Id,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Country,Area,Region,Location Name,Latitude,Longitude,Focal Depth (km),Mag,Mw,Ms,Mb,Ml,Mfa,Unk,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""1900 <= Year >= 2024""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10209.0,2016.0,11.0,21.0,20.0,59.0,49.3,5618.0,,JAPAN,,30.0,JAPAN: NEAR E COAST HONSHU,37.393,141.387,9.0,6.9,6.9,,,,,,8.0,,,,,15.0,1.0,,1.0,,,,,,,,,15.0,1.0,,1.0,,,,
,10211.0,2016.0,11.0,24.0,18.0,43.0,47.7,5620.0,,NICARAGUA,,100.0,NICARAGUA,11.91,-88.897,10.0,6.9,6.9,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
,10386.0,2016.0,11.0,25.0,14.0,24.0,30.7,,,CHINA,,40.0,CHINA:  XINJIANG PROVINCE:  KASHGAR,39.273,73.978,17.0,6.6,6.6,,,,,,7.0,1.0,1.0,,,,,5.5,3.0,,2.0,,,1.0,1.0,,,,,5.5,3.0,,2.0,,
,10230.0,2016.0,11.0,27.0,23.0,35.0,21.0,,,NEPAL,,60.0,"NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA",27.802,86.532,10.0,5.4,,,5.4,,,,5.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,,
,10231.0,2016.0,11.0,29.0,20.0,9.0,39.4,,,POLAND,,120.0,POLAND:  RUDNA,51.613,16.157,5.0,4.2,4.2,,,,,,3.0,8.0,1.0,,,9.0,1.0,,1.0,,,,,8.0,1.0,,,9.0,1.0,,1.0,,,,
,10379.0,2016.0,12.0,1.0,0.0,25.0,21.4,,,COSTA RICA,,100.0,"COSTA RICA:  PARAISO, TURRIALBA",9.949,-83.807,1.0,5.3,5.3,,,,,,6.0,,,,,,,,2.0,,,60.0,2.0,,,,,,,,2.0,,,60.0,2.0
,10232.0,2016.0,12.0,1.0,22.0,40.0,26.6,,,PERU,,160.0,"PERU:  PUNO, LAMPA",-15.312,-70.827,12.0,6.2,6.2,,,,,,7.0,1.0,1.0,,,17.0,1.0,,1.0,8.0,1.0,40.0,1.0,1.0,1.0,,,17.0,1.0,,1.0,8.0,1.0,40.0,1.0
,10215.0,2016.0,12.0,6.0,22.0,3.0,33.4,,,INDONESIA,,60.0,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168,13.0,6.5,6.5,,,,,,8.0,104.0,3.0,,,857.0,3.0,100.0,4.0,245.0,3.0,18752.0,4.0,104.0,3.0,,,857.0,3.0,100.0,4.0,245.0,3.0,18752.0,4.0
,10380.0,2016.0,12.0,8.0,5.0,15.0,4.6,,,CHINA,,40.0,CHINA:  N. XINJIANG:  URUMQI,43.823,86.345,18.0,6.0,6.0,,,,,,7.0,1.0,1.0,,,,,135.0,4.0,,,,,1.0,1.0,,,,,135.0,4.0,,,,
,10218.0,2016.0,12.0,8.0,17.0,38.0,46.3,5630.0,,SOLOMON ISLANDS,,170.0,SOLOMON ISLANDS,-10.681,161.327,40.0,7.8,7.8,,,,,,8.0,1.0,1.0,,,,,,1.0,191.0,3.0,126.0,3.0,1.0,1.0,,,,,,1.0,191.0,3.0,126.0,3.0
,10219.0,2016.0,12.0,9.0,19.0,10.0,6.8,5632.0,,SOLOMON ISLANDS,,170.0,SOLOMON ISLANDS,-10.749,161.132,20.0,6.9,6.9,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
,10220.0,2016.0,12.0,17.0,10.0,51.0,10.5,5636.0,,PAPUA NEW GUINEA,,170.0,PAPUA NEW GUINEA:  NEW BRITAIN NEW IRELAND,-4.505,153.522,95.0,7.9,7.9,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
